Title,Genre,Cast,Language,Year,Rating
Om Shanti Om,Comedy,"Shah Rukh Khan,Deepika Padukone",Hindi,2007,6.8
My Name Is Khan,Drama,"Shah Rukh Khan,Kajol",Hindi,2010,7.9
Raees,Action,"Shah Rukh Khan,Mahira Khan",Hindi,2017,6.6
Fan,Thriller,"Shah Rukh Khan,Shriya Pilgaonkar",Hindi,2016,7.0
Pathaan,Action,"Shah Rukh Khan,Deepika Padukone,John Abraham",Hindi,2023,6.6
Jawan,Action,"Shah Rukh Khan,Nayanthara,Vijay Sethupathi",Hindi,2023,7.0
Dunki,Comedy,"Shah Rukh Khan,Taapsee Pannu",Hindi,2023,6.8
3 Idiots,Comedy,"Aamir Khan,R. Madhavan,Sharman Joshi,Kareena Kapoor",Hindi,2009,8.4
PK,Comedy,"Aamir Khan,Anushka Sharma",Hindi,2014,8.1
Dangal,Drama,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",Hindi,2016,8.3
Ghajini,Action,"Aamir Khan,Asin",Hindi,2008,7.3
Rang De Basanti,Drama,"Aamir Khan,Siddharth,Soha Ali Khan",Hindi,2006,8.1
Taare Zameen Par,Drama,"Aamir Khan,Darsheel Safary",Hindi,2007,8.3
Lagaan,Sports,"Aamir Khan,Gracy Singh",Hindi,2001,8.1
Secret Superstar,Drama,"Aamir Khan,Zaira Wasim",Hindi,2017,7.8
Bajrangi Bhaijaan,Drama,"Salman Khan,Kareena Kapoor,Nawazuddin Siddiqui",Hindi,2015,8.1
Sultan,Sports,"Salman Khan,Anushka Sharma",Hindi,2016,7.0
Tiger Zinda Hai,Action,"Salman Khan,Katrina Kaif",Hindi,2017,5.9
Ek Tha Tiger,Action,"Salman Khan,Katrina Kaif",Hindi,2012,7.0
Kick,Action,"Salman Khan,Jacqueline Fernandez",Hindi,2014,5.3
Wanted,Action,"Salman Khan,Ayesha Takia",Hindi,2009,6.6
Bodyguard,Romance,"Salman Khan,Kareena Kapoor",Hindi,2011,4.7
Hum Aapke Hain Koun,Family,"Salman Khan,Madhuri Dixit",Hindi,1994,7.5
War,Action,"Hrithik Roshan,Tiger Shroff,Vaani Kapoor",Hindi,2019,6.5
Krrish,Superhero,"Hrithik Roshan,Priyanka Chopra",Hindi,2006,6.4
Krrish 3,Superhero,"Hrithik Roshan,Priyanka Chopra,Kangana Ranaut",Hindi,2013,5.3
Zindagi Na Milegi Dobara,Comedy,"Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif",Hindi,2011,8.2
Super 30,Biography,"Hrithik Roshan,Mrunal Thakur",Hindi,2019,7.9
Lakshya,War,"Hrithik Roshan,Preity Zinta",Hindi,2004,7.8
Bang Bang!,Action,"Hrithik Roshan,Katrina Kaif",Hindi,2014,5.6
Barfi!,Drama,"Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz",Hindi,2012,8.1
Rockstar,Drama,"Ranbir Kapoor,Nargis Fakhri",Hindi,2011,7.7
Yeh Jawaani Hai Deewani,Romance,"Ranbir Kapoor,Deepika Padukone",Hindi,2013,7.2
Sanju,Biography,"Ranbir Kapoor,Paresh Rawal,Vicky Kaushal",Hindi,2018,7.6
Animal,Action,"Ranbir Kapoor,Rashmika Mandanna",Hindi,2023,6.8
Tamasha,Drama,"Ranbir Kapoor,Deepika Padukone",Hindi,2015,7.3
Ae Dil Hai Mushkil,Romance,"Ranbir Kapoor,Anushka Sharma,Aishwarya Rai",Hindi,2016,5.8
Wake Up Sid,Drama,"Ranbir Kapoor,Konkona Sen Sharma",Hindi,2009,7.6
Brahmāstra: Part One – Shiva,Fantasy,"Ranbir Kapoor,Alia Bhatt,Amitabh Bachchan",Hindi,2022,5.6
Rocky Aur Rani Kii Prem Kahaani,Romance,"Ranveer Singh,Alia Bhatt,Dharmendra",Hindi,2023,6.8
Gully Boy,Drama,"Ranveer Singh,Alia Bhatt,Siddhant Chaturvedi",Hindi,2019,7.9
83,Sports,"Ranveer Singh,Deepika Padukone",Hindi,2021,7.5
Padmaavat,Historical,"Ranveer Singh,Deepika Padukone,Shahid Kapoor",Hindi,2018,7.0
Simmba,Action,"Ranveer Singh,Sara Ali Khan",Hindi,2018,5.5
Bajirao Mastani,Historical,"Ranveer Singh,Deepika Padukone,Priyanka Chopra",Hindi,2015,7.2
Dil Dhadakne Do,Drama,"Ranveer Singh,Priyanka Chopra,Anil Kapoor",Hindi,2015,7.0
Band Baaja Baaraat,Romance,"Ranveer Singh,Anushka Sharma",Hindi,2010,7.2
Goliyon Ki Raasleela Ram-Leela,Romance,"Ranveer Singh,Deepika Padukone",Hindi,2013,6.4
Lootera,Drama,"Ranveer Singh,Sonakshi Sinha",Hindi,2013,7.3
Kabir Singh,Romance,"Shahid Kapoor,Kiara Advani",Hindi,2019,7.0
Haider,Crime,"Shahid Kapoor,Tabu,Shraddha Kapoor",Hindi,2014,8.1
Jab We Met,Romance,"Shahid Kapoor,Kareena Kapoor",Hindi,2007,7.9
Kaminey,Crime,"Shahid Kapoor,Priyanka Chopra",Hindi,2009,7.4
Udta Punjab,Crime,"Shahid Kapoor,Alia Bhatt,Kareena Kapoor",Hindi,2016,7.7
Vivah,Romance,"Shahid Kapoor,Amrita Rao",Hindi,2006,6.7
R... Rajkumar,Action,"Shahid Kapoor,Sonakshi Sinha",Hindi,2013,5.2
Bloody Daddy,Action,"Shahid Kapoor,Diana Penty",Hindi,2023,6.8
Bhool Bhulaiyaa,Horror,"Akshay Kumar,Vidya Balan,Shiney Ahuja",Hindi,2007,7.4
Bhool Bhulaiyaa 2,Comedy,"Kartik Aaryan,Kiara Advani,Tabu",Hindi,2022,5.8
Bhool Bhulaiyaa 3,Comedy,"Kartik Aaryan,Vidya Balan,Triptii Dimri",Hindi,2024,6.0
Hera Pheri,Comedy,"Akshay Kumar,Suniel Shetty,Paresh Rawal",Hindi,2000,8.2
Phir Hera Pheri,Comedy,"Akshay Kumar,Suniel Shetty,Paresh Rawal",Hindi,2006,7.3
OMG: Oh My God!,Comedy,"Akshay Kumar,Paresh Rawal",Hindi,2012,8.1
Special 26,Crime,"Akshay Kumar,Manoj Bajpayee,Anupam Kher",Hindi,2013,8.0
Airlift,Drama,"Akshay Kumar,Nimrat Kaur",Hindi,2016,7.9
Kesari,War,"Akshay Kumar,Parineeti Chopra",Hindi,2019,7.4
Mission Mangal,Drama,"Akshay Kumar,Vidya Balan,Taapsee Pannu",Hindi,2019,6.5
Housefull,Comedy,"Akshay Kumar,Deepika Padukone,Riteish Deshmukh",Hindi,2010,5.5
Rowdy Rathore,Action,"Akshay Kumar,Sonakshi Sinha",Hindi,2012,5.8
Drishyam,Thriller,"Ajay Devgn,Shriya Saran,Tabu",Hindi,2015,8.2
Drishyam 2,Thriller,"Ajay Devgn,Tabu,Akshaye Khanna",Hindi,2022,8.2
Singham,Action,"Ajay Devgn,Kajal Aggarwal",Hindi,2011,6.8
Singham Again,Action,"Ajay Devgn,Kareena Kapoor,Deepika Padukone",Hindi,2024,5.9
Raid,Crime,"Ajay Devgn,Ileana D'Cruz",Hindi,2018,7.4
Raid 2,Crime,"Ajay Devgn,Vaani Kapoor",Hindi,2025,6.8
Shaitaan,Horror,"Ajay Devgn,R. Madhavan,Janki Bodiwala",Hindi,2024,6.7
Tanhaji: The Unsung Warrior,Historical,"Ajay Devgn,Kajol,Saif Ali Khan",Hindi,2020,7.5
Golmaal: Fun Unlimited,Comedy,"Ajay Devgn,Arshad Warsi,Tusshar Kapoor",Hindi,2006,7.4
Golmaal Returns,Comedy,"Ajay Devgn,Kareena Kapoor",Hindi,2008,5.7
Golmaal 3,Comedy,"Ajay Devgn,Kareena Kapoor,Mithun Chakraborty",Hindi,2010,5.5
Golmaal Again,Comedy,"Ajay Devgn,Parineeti Chopra,Tabu",Hindi,2017,5.0
Article 15,Crime,"Ayushmann Khurrana,Isha Talwar",Hindi,2019,8.1
Andhadhun,Thriller,"Ayushmann Khurrana,Tabu,Radhika Apte",Hindi,2018,8.2
Dream Girl,Comedy,"Ayushmann Khurrana,Nushrratt Bharuccha",Hindi,2019,7.0
Badhaai Ho,Comedy,"Ayushmann Khurrana,Sanya Malhotra",Hindi,2018,8.0
Vicky Donor,Comedy,"Ayushmann Khurrana,Yami Gautam",Hindi,2012,7.8
Chhichhore,Comedy,"Sushant Singh Rajput,Shraddha Kapoor",Hindi,2019,8.3
MS Dhoni: The Untold Story,Biography,"Sushant Singh Rajput,Kiara Advani,Disha Patani",Hindi,2016,8.0
Kai Po Che!,Drama,"Sushant Singh Rajput,Rajkummar Rao,Amit Sadh",Hindi,2013,7.8
Inception,Sci-Fi,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",English,2010,8.8
Interstellar,Sci-Fi,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",English,2014,8.7
The Dark Knight,Action,"Christian Bale,Heath Ledger",English,2008,9.0
The Dark Knight Rises,Action,"Christian Bale,Tom Hardy,Anne Hathaway",English,2012,8.4
Batman Begins,Action,"Christian Bale,Michael Caine,Liam Neeson",English,2005,8.2
Avengers: Endgame,Action,"Robert Downey Jr.,Chris Evans,Scarlett Johansson",English,2019,8.4
Avengers: Infinity War,Action,"Robert Downey Jr.,Chris Hemsworth,Josh Brolin",English,2018,8.4
Iron Man,Action,"Robert Downey Jr.,Gwyneth Paltrow",English,2008,7.9
Iron Man 2,Action,"Robert Downey Jr.,Scarlett Johansson",English,2010,6.9
Iron Man 3,Action,"Robert Downey Jr.,Gwyneth Paltrow",English,2013,7.1
Captain America: The First Avenger,Action,"Chris Evans,Hayley Atwell",English,2011,6.9
Captain America: The Winter Soldier,Action,"Chris Evans,Scarlett Johansson",English,2014,7.8
Captain America: Civil War,Action,"Chris Evans,Robert Downey Jr.,Scarlett Johansson",English,2016,7.8
Thor,Fantasy,"Chris Hemsworth,Natalie Portman",English,2011,7.0
Thor: Ragnarok,Action,"Chris Hemsworth,Tom Hiddleston,Cate Blanchett",English,2017,7.9
Doctor Strange,Fantasy,"Benedict Cumberbatch,Rachel McAdams",English,2016,7.5
Spider-Man: Homecoming,Action,"Tom Holland,Michael Keaton,Zendaya",English,2017,7.4
Spider-Man: Far From Home,Action,"Tom Holland,Zendaya,Jake Gyllenhaal",English,2019,7.4
Spider-Man: No Way Home,Action,"Tom Holland,Zendaya,Benedict Cumberbatch",English,2021,8.2
Black Panther,Action,"Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o",English,2018,7.3
Guardians of the Galaxy,Action,"Chris Pratt,Zoe Saldaña,Dave Bautista",English,2014,8.0
Guardians of the Galaxy Vol. 2,Action,"Chris Pratt,Zoe Saldaña,Kurt Russell",English,2017,7.6
The Avengers,Action,"Robert Downey Jr.,Chris Evans,Mark Ruffalo",English,2012,8.0
Black Widow,Action,"Scarlett Johansson,Florence Pugh",English,2021,6.6
Ant-Man,Action,"Paul Rudd,Evangeline Lilly",English,2015,7.2
Ant-Man and the Wasp,Action,"Paul Rudd,Evangeline Lilly",English,2018,7.0
The Incredible Hulk,Action,"Edward Norton,Liv Tyler",English,2008,6.6
Titanic,Romance,"Leonardo DiCaprio,Kate Winslet",English,1997,7.9
The Notebook,Romance,"Ryan Gosling,Rachel McAdams",English,2004,7.8
La La Land,Musical,"Ryan Gosling,Emma Stone",English,2016,8.0
The Fault in Our Stars,Romance,"Shailene Woodley,Ansel Elgort",English,2014,7.7
Me Before You,Romance,"Emilia Clarke,Sam Claflin",English,2016,7.4
A Star Is Born,Romance,"Bradley Cooper,Lady Gaga",English,2018,7.6
The Great Gatsby,Drama,"Leonardo DiCaprio,Carey Mulligan",English,2013,7.2
The Wolf of Wall Street,Biography,"Leonardo DiCaprio,Jonah Hill,Margot Robbie",English,2013,8.2
Shutter Island,Thriller,"Leonardo DiCaprio,Mark Ruffalo",English,2010,8.2
Catch Me If You Can,Biography,"Leonardo DiCaprio,Tom Hanks",English,2002,8.1
The Revenant,Adventure,"Leonardo DiCaprio,Tom Hardy",English,2015,8.0
Django Unchained,Western,"Jamie Foxx,Leonardo DiCaprio,Christoph Waltz",English,2012,8.5
Forrest Gump,Drama,"Tom Hanks,Robin Wright",English,1994,8.8
Saving Private Ryan,War,"Tom Hanks,Matt Damon",English,1998,8.6
Cast Away,Adventure,"Tom Hanks,Helen Hunt",English,2000,7.8
The Terminal,Comedy,"Tom Hanks,Catherine Zeta-Jones",English,2004,7.4
The Green Mile,Drama,"Tom Hanks,Michael Clarke Duncan",English,1999,8.6
Toy Story,Animation,"Tom Hanks,Tim Allen",English,1995,8.3
Toy Story 3,Animation,"Tom Hanks,Tim Allen",English,2010,8.3
Finding Nemo,Animation,"Albert Brooks,Ellen DeGeneres",English,2003,8.2
Frozen,Animation,"Kristen Bell,Idina Menzel",English,2013,7.4
The Lion King,Animation,"Matthew Broderick,Jeremy Irons,James Earl Jones",English,1994,8.5
Joker,Drama,"Joaquin Phoenix,Zazie Beetz,Robert De Niro",English,2019,8.4
The Shawshank Redemption,Drama,"Tim Robbins,Morgan Freeman",English,1994,9.3
The Godfather,Crime,"Marlon Brando,Al Pacino",English,1972,9.2
The Godfather Part II,Crime,"Al Pacino,Robert De Niro",English,1974,9.0
Pulp Fiction,Crime,"John Travolta,Samuel L. Jackson,Uma Thurman",English,1994,8.9
Fight Club,Drama,"Brad Pitt,Edward Norton",English,1999,8.8
The Matrix,Sci-Fi,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",English,1999,8.7
The Matrix Reloaded,Sci-Fi,"Keanu Reeves,Carrie-Anne Moss",English,2003,7.2
The Matrix Revolutions,Sci-Fi,"Keanu Reeves,Carrie-Anne Moss",English,2003,6.7
John Wick,Action,"Keanu Reeves,Michael Nyqvist",English,2014,7.5
John Wick: Chapter 2,Action,"Keanu Reeves,Riccardo Scamarcio",English,2017,7.4
John Wick: Chapter 3 – Parabellum,Action,"Keanu Reeves,Halle Berry",English,2019,7.4
John Wick: Chapter 4,Action,"Keanu Reeves,Donnie Yen,Bill Skarsgård",English,2023,7.8
Mission: Impossible,Action,"Tom Cruise,Jon Voight",English,1996,7.2
Mission: Impossible II,Action,"Tom Cruise,Dougray Scott",English,2000,6.1
Mission: Impossible III,Action,"Tom Cruise,Philip Seymour Hoffman",English,2006,6.9
Mission: Impossible – Ghost Protocol,Action,"Tom Cruise,Jeremy Renner",English,2011,7.4
Mission: Impossible – Rogue Nation,Action,"Tom Cruise,Rebecca Ferguson",English,2015,7.4
Mission: Impossible – Fallout,Action,"Tom Cruise,Henry Cavill",English,2018,7.7
Mission: Impossible – Dead Reckoning Part One,Action,"Tom Cruise,Hayley Atwell",English,2023,7.7
Top Gun,Action,"Tom Cruise,Kelly McGillis",English,1986,6.9
Top Gun: Maverick,Action,"Tom Cruise,Miles Teller,Jennifer Connelly",English,2022,8.2
Gladiator,Action,"Russell Crowe,Joaquin Phoenix",English,2000,8.5
Braveheart,Historical,"Mel Gibson,Sophie Marceau",English,1995,8.3
The Prestige,Mystery,"Christian Bale,Hugh Jackman",English,2006,8.5
Memento,Thriller,"Guy Pearce,Carrie-Anne Moss",English,2000,8.4
Se7en,Crime,"Brad Pitt,Morgan Freeman",English,1995,8.6
Gone Girl,Thriller,"Ben Affleck,Rosamund Pike",English,2014,8.1
Prisoners,Thriller,"Hugh Jackman,Jake Gyllenhaal",English,2013,8.1
The Silence of the Lambs,Thriller,"Jodie Foster,Anthony Hopkins",English,1991,8.6
The Departed,Crime,"Leonardo DiCaprio,Matt Damon,Jack Nicholson",English,2006,8.5
Whiplash,Drama,"Miles Teller,J.K. Simmons",English,2014,8.5
The Social Network,Biography,"Jesse Eisenberg,Andrew Garfield",English,2010,7.8
The Imitation Game,Biography,"Benedict Cumberbatch,Keira Knightley",English,2014,8.0
Bohemian Rhapsody,Biography,"Rami Malek,Lucy Boynton",English,2018,7.9
Oppenheimer,Biography,"Cillian Murphy,Emily Blunt,Robert Downey Jr.",English,2023,8.3
Barbie,Comedy,"Margot Robbie,Ryan Gosling",English,2023,6.8
The Devil Wears Prada,Comedy,"Anne Hathaway,Meryl Streep",English,2006,6.9
The Pursuit of Happyness,Drama,"Will Smith,Jaden Smith",English,2006,8.0
I Am Legend,Sci-Fi,"Will Smith,Alice Braga",English,2007,7.2
Men in Black,Sci-Fi,"Will Smith,Tommy Lee Jones",English,1997,7.3
Independence Day,Sci-Fi,"Will Smith,Jeff Goldblum",English,1996,7.0
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,"Johnny Depp,Orlando Bloom,Keira Knightley",English,2003,8.1
Pirates of the Caribbean: Dead Man's Chest,Adventure,"Johnny Depp,Orlando Bloom",English,2006,7.4
Pirates of the Caribbean: At World's End,Adventure,"Johnny Depp,Keira Knightley",English,2007,7.1
Harry Potter and the Sorcerer's Stone,Fantasy,"Daniel Radcliffe,Emma Watson,Rupert Grint",English,2001,7.7
Harry Potter and the Chamber of Secrets,Fantasy,"Daniel Radcliffe,Emma Watson",English,2002,7.4
Harry Potter and the Prisoner of Azkaban,Fantasy,"Daniel Radcliffe,Emma Watson,Gary Oldman",English,2004,7.9
Harry Potter and the Goblet of Fire,Fantasy,"Daniel Radcliffe,Emma Watson,Robert Pattinson",English,2005,7.7
Harry Potter and the Order of the Phoenix,Fantasy,"Daniel Radcliffe,Emma Watson",English,2007,7.5
Harry Potter and the Deathly Hallows – Part 2,Fantasy,"Daniel Radcliffe,Emma Watson,Rupert Grint",English,2011,8.1